"filename","DGPid","trueATE"
"high1987",28,0.291627383631446
"high1988",56,-0.280333082581458
"high1989",28,0.291627383631446
"high199",13,-0.8486
"high1990",27,0.260826425527279
"high1991",52,0.197006069193618
"high1992",25,-0.279808785174019
"high1993",27,0.260826425527279
"high1994",55,0.687319715863923
"high1995",25,-0.279808785174019
"high1996",49,0.231331621335453
"high1997",48,0.220975439343995
"high1998",46,0.197006069193618
"high1999",46,0.197006069193618
"high2",12,-3.159
"high20",2,0.8
"high200",13,-0.8486
"high2000",56,-0.280333082581458
"high2001",46,0.197006069193618
"high2002",25,-0.279808785174019
"high2003",54,-0.2502917
"high2004",46,0.197006069193618
"high2005",48,0.220975439343995
"high2006",26,0.216588097389286
"high2007",45,0.146353197214364
"high2008",51,0.146353197214364
"high2009",26,0.216588097389286
"high201",6,-1.1039
"high2010",56,-0.280333082581458
"high2011",47,0.17121050152692
"high2012",51,0.146353197214364
"high2013",27,0.260826425527279
"high2014",48,0.220975439343995
"high2015",28,0.291627383631446
"high2016",48,0.220975439343995
"high2017",26,0.216588097389286
"high2018",54,-0.2502917
"high2019",45,0.146353197214364
"high202",4,2.1
"high2020",47,0.17121050152692
"high2021",54,-0.2502917
"high2022",53,0.17121050152692
"high2023",26,0.216588097389286
"high2024",49,0.231331621335453
"high2025",45,0.146353197214364
"high2026",55,0.687319715863923
"high2027",46,0.197006069193618
"high2028",25,-0.279808785174019
"high2029",46,0.197006069193618
"high203",10,9.134
"high2030",49,0.231331621335453
"high2031",50,0.251199875828373
"high2032",47,0.17121050152692
"high2033",45,0.146353197214364
"high2034",49,0.231331621335453
"high2035",52,0.197006069193618
"high2036",51,0.146353197214364
"high2037",25,-0.279808785174019
"high2038",55,0.687319715863923
"high2039",26,0.216588097389286
"high204",3,-0.800000000000001
"high2040",55,0.687319715863923
"high2041",55,0.687319715863923
"high2042",51,0.146353197214364
"high2043",25,-0.279808785174019
"high2044",27,0.260826425527279
"high2045",26,0.216588097389286
"high2046",49,0.231331621335453
"high2047",52,0.197006069193618
"high2048",28,0.291627383631446
"high2049",28,0.291627383631446
"high205",13,-0.8486
"high2050",45,0.146353197214364
"high2051",26,0.216588097389286
"high2052",52,0.197006069193618
"high2053",47,0.17121050152692
"high2054",50,0.251199875828373
"high2055",54,-0.2502917
"high2056",48,0.220975439343995
"high2057",48,0.220975439343995
"high2058",45,0.146353197214364
"high2059",55,0.687319715863923
"high206",1,0.2
"high2060",46,0.197006069193618
"high2061",53,0.17121050152692
"high2062",45,0.146353197214364
"high2063",50,0.251199875828373
"high2064",48,0.220975439343995
"high2065",25,-0.279808785174019
"high2066",50,0.251199875828373
"high2067",28,0.291627383631446
"high2068",54,-0.2502917
"high2069",46,0.197006069193618
"high207",15,-0.16058
"high2070",46,0.197006069193618
"high2071",56,-0.280333082581458
"high2072",52,0.197006069193618
"high2073",28,0.291627383631446
"high2074",28,0.291627383631446
"high2075",49,0.231331621335453
"high2076",49,0.231331621335453
"high2077",53,0.17121050152692
"high2078",27,0.260826425527279
"high2079",46,0.197006069193618
"high208",9,12.62
"high2080",27,0.260826425527279
"high2081",46,0.197006069193618
"high2082",50,0.251199875828373
"high2083",55,0.687319715863923
"high2084",45,0.146353197214364
"high2085",52,0.197006069193618
"high2086",26,0.216588097389286
"high2087",48,0.220975439343995
"high2088",54,-0.2502917
"high2089",48,0.220975439343995
"high209",13,-0.8486
"high2090",48,0.220975439343995
"high2091",53,0.17121050152692
"high2092",27,0.260826425527279
"high2093",54,-0.2502917
"high2094",53,0.17121050152692
"high2095",50,0.251199875828373
"high2096",45,0.146353197214364
"high2097",53,0.17121050152692
"high2098",52,0.197006069193618
"high2099",27,0.260826425527279
"high21",6,-1.1039
"high210",3,-0.800000000000001
"high2100",55,0.687319715863923
"high2101",28,0.291627383631446
"high2102",28,0.291627383631446
"high2103",54,-0.2502917
"high2104",54,-0.2502917
"high2105",25,-0.279808785174019
"high2106",45,0.146353197214364
"high2107",26,0.216588097389286
"high2108",26,0.216588097389286
"high2109",25,-0.279808785174019
"high211",6,-1.1039
"high2110",48,0.220975439343995
"high2111",28,0.291627383631446
"high2112",28,0.291627383631446
"high2113",45,0.146353197214364
"high2114",26,0.216588097389286
"high2115",52,0.197006069193618
"high2116",45,0.146353197214364
"high2117",27,0.260826425527279
"high2118",54,-0.2502917
"high2119",25,-0.279808785174019
"high212",5,-0.3429
"high2120",28,0.291627383631446
"high2121",46,0.197006069193618
"high2122",53,0.17121050152692
"high2123",27,0.260826425527279
"high2124",49,0.231331621335453
"high2125",51,0.146353197214364
"high2126",56,-0.280333082581458
"high2127",55,0.687319715863923
"high2128",27,0.260826425527279
"high2129",51,0.146353197214364
"high213",7,0
"high2130",47,0.17121050152692
"high2131",49,0.231331621335453
"high2132",56,-0.280333082581458
"high2133",48,0.220975439343995
"high2134",56,-0.280333082581458
"high2135",52,0.197006069193618
"high2136",52,0.197006069193618
"high2137",49,0.231331621335453
"high2138",54,-0.2502917
"high2139",52,0.197006069193618
"high214",4,2.1
"high2140",55,0.687319715863923
"high2141",26,0.216588097389286
"high2142",26,0.216588097389286
"high2143",26,0.216588097389286
"high2144",54,-0.2502917
"high2145",45,0.146353197214364
"high2146",28,0.291627383631446
"high2147",53,0.17121050152692
"high2148",55,0.687319715863923
"high2149",50,0.251199875828373
"high215",12,-3.159
"high2150",55,0.687319715863923
"high2151",51,0.146353197214364
"high2152",25,-0.279808785174019
"high2153",48,0.220975439343995
"high2154",52,0.197006069193618
"high2155",26,0.216588097389286
"high2156",56,-0.280333082581458
"high2157",47,0.17121050152692
"high2158",49,0.231331621335453
"high2159",48,0.220975439343995
"high216",15,-0.16058
"high2160",55,0.687319715863923
"high2161",51,0.146353197214364
"high2162",27,0.260826425527279
"high2163",49,0.231331621335453
"high2164",25,-0.279808785174019
"high2165",53,0.17121050152692
"high2166",27,0.260826425527279
"high2167",46,0.197006069193618
"high2168",49,0.231331621335453
"high2169",47,0.17121050152692
"high217",3,-0.800000000000001
"high2170",28,0.291627383631446
"high2171",25,-0.279808785174019
"high2172",55,0.687319715863923
"high2173",48,0.220975439343995
"high2174",45,0.146353197214364
"high2175",56,-0.280333082581458
"high2176",52,0.197006069193618
"high2177",52,0.197006069193618
"high2178",52,0.197006069193618
"high2179",50,0.251199875828373
"high218",9,12.62
"high2180",51,0.146353197214364
"high2181",54,-0.2502917
"high2182",46,0.197006069193618
"high2183",56,-0.280333082581458
"high2184",49,0.231331621335453
"high2185",47,0.17121050152692
"high2186",50,0.251199875828373
"high2187",26,0.216588097389286
"high2188",28,0.291627383631446
"high2189",53,0.17121050152692
"high219",9,12.62
"high2190",56,-0.280333082581458
"high2191",52,0.197006069193618
"high2192",55,0.687319715863923
"high2193",27,0.260826425527279
"high2194",56,-0.280333082581458
"high2195",53,0.17121050152692
"high2196",54,-0.2502917
"high2197",49,0.231331621335453
"high2198",54,-0.2502917
"high2199",51,0.146353197214364
"high22",4,2.1
"high220",7,0
"high2200",55,0.687319715863923
"high2201",54,-0.2502917
"high2202",26,0.216588097389286
"high2203",54,-0.2502917
"high2204",46,0.197006069193618
"high2205",45,0.146353197214364
"high2206",54,-0.2502917
"high2207",51,0.146353197214364
"high2208",48,0.220975439343995
"high2209",47,0.17121050152692
"high221",14,61.11
"high2210",27,0.260826425527279
"high2211",54,-0.2502917
"high2212",51,0.146353197214364
"high2213",55,0.687319715863923
"high2214",28,0.291627383631446
"high2215",26,0.216588097389286
"high2216",47,0.17121050152692
"high2217",49,0.231331621335453
"high2218",27,0.260826425527279
"high2219",51,0.146353197214364
"high222",15,-0.16058
"high2220",27,0.260826425527279
"high2221",52,0.197006069193618
"high2222",50,0.251199875828373
"high2223",27,0.260826425527279
"high2224",48,0.220975439343995
"high2225",45,0.146353197214364
"high2226",49,0.231331621335453
"high2227",50,0.251199875828373
"high2228",50,0.251199875828373
"high2229",27,0.260826425527279
"high223",8,-1.432
"high2230",50,0.251199875828373
"high2231",52,0.197006069193618
"high2232",46,0.197006069193618
"high2233",25,-0.279808785174019
"high2234",26,0.216588097389286
"high2235",25,-0.279808785174019
"high2236",25,-0.279808785174019
"high2237",54,-0.2502917
"high2238",26,0.216588097389286
"high2239",53,0.17121050152692
"high224",13,-0.8486
"high2240",46,0.197006069193618
"high2241",26,0.216588097389286
"high2242",46,0.197006069193618
"high2243",47,0.17121050152692
"high2244",50,0.251199875828373
"high2245",26,0.216588097389286
"high2246",49,0.231331621335453
"high2247",26,0.216588097389286
"high2248",54,-0.2502917
"high2249",27,0.260826425527279
"high225",7,0
"high2250",55,0.687319715863923
"high2251",25,-0.279808785174019
"high2252",53,0.17121050152692
"high2253",27,0.260826425527279
"high2254",45,0.146353197214364
"high2255",53,0.17121050152692
"high2256",53,0.17121050152692
"high2257",26,0.216588097389286
"high2258",49,0.231331621335453
"high2259",55,0.687319715863923
"high226",1,0.2
"high2260",26,0.216588097389286
"high2261",47,0.17121050152692
"high2262",55,0.687319715863923
"high2263",47,0.17121050152692
"high2264",52,0.197006069193618
"high2265",48,0.220975439343995
"high2266",55,0.687319715863923
"high2267",54,-0.2502917
"high2268",56,-0.280333082581458
"high2269",54,-0.2502917
"high227",11,10.77
"high2270",25,-0.279808785174019
"high2271",51,0.146353197214364
"high2272",46,0.197006069193618
"high2273",52,0.197006069193618
"high2274",27,0.260826425527279
"high2275",47,0.17121050152692
"high2276",56,-0.280333082581458
"high2277",47,0.17121050152692
"high2278",54,-0.2502917
"high2279",25,-0.279808785174019
"high228",8,-1.432
"high2280",49,0.231331621335453
"high2281",55,0.687319715863923
"high2282",46,0.197006069193618
"high2283",49,0.231331621335453
"high2284",25,-0.279808785174019
"high2285",45,0.146353197214364
"high2286",54,-0.2502917
"high2287",56,-0.280333082581458
"high2288",55,0.687319715863923
"high2289",27,0.260826425527279
"high229",3,-0.800000000000001
"high2290",52,0.197006069193618
"high2291",28,0.291627383631446
"high2292",49,0.231331621335453
"high2293",26,0.216588097389286
"high2294",56,-0.280333082581458
"high2295",56,-0.280333082581458
"high2296",50,0.251199875828373
"high2297",25,-0.279808785174019
"high2298",48,0.220975439343995
"high2299",53,0.17121050152692
"high23",16,1
"high230",11,10.77
"high2300",51,0.146353197214364
"high2301",49,0.231331621335453
"high2302",25,-0.279808785174019
"high2303",53,0.17121050152692
"high2304",28,0.291627383631446
"high2305",27,0.260826425527279
"high2306",51,0.146353197214364
"high2307",45,0.146353197214364
"high2308",54,-0.2502917
"high2309",28,0.291627383631446
"high231",10,9.134
"high2310",52,0.197006069193618
"high2311",56,-0.280333082581458
"high2312",25,-0.279808785174019
"high2313",47,0.17121050152692
"high2314",25,-0.279808785174019
"high2315",52,0.197006069193618
"high2316",49,0.231331621335453
"high2317",47,0.17121050152692
"high2318",51,0.146353197214364
"high2319",53,0.17121050152692
"high232",4,2.1
"high2320",26,0.216588097389286
"high2321",45,0.146353197214364
"high2322",26,0.216588097389286
"high2323",27,0.260826425527279
"high2324",53,0.17121050152692
"high2325",48,0.220975439343995
"high2326",55,0.687319715863923
"high2327",48,0.220975439343995
"high2328",26,0.216588097389286
"high2329",52,0.197006069193618
"high233",11,10.77
"high2330",26,0.216588097389286
"high2331",52,0.197006069193618
"high2332",53,0.17121050152692
"high2333",52,0.197006069193618
"high2334",45,0.146353197214364
"high2335",56,-0.280333082581458
"high2336",49,0.231331621335453
"high2337",46,0.197006069193618
"high2338",46,0.197006069193618
"high2339",56,-0.280333082581458
"high234",10,9.134
"high2340",49,0.231331621335453
"high2341",28,0.291627383631446
"high2342",46,0.197006069193618
"high2343",53,0.17121050152692
"high2344",26,0.216588097389286
"high2345",48,0.220975439343995
"high2346",49,0.231331621335453
"high2347",49,0.231331621335453
"high2348",51,0.146353197214364
"high2349",50,0.251199875828373
"high235",13,-0.8486
"high2350",46,0.197006069193618
"high2351",56,-0.280333082581458
"high2352",28,0.291627383631446
"high2353",49,0.231331621335453
"high2354",51,0.146353197214364
"high2355",55,0.687319715863923
"high2356",46,0.197006069193618
"high2357",45,0.146353197214364
"high2358",55,0.687319715863923
"high2359",45,0.146353197214364
"high236",6,-1.1039
"high2360",25,-0.279808785174019
"high2361",47,0.17121050152692
"high2362",56,-0.280333082581458
"high2363",27,0.260826425527279
"high2364",28,0.291627383631446
"high2365",50,0.251199875828373
"high2366",25,-0.279808785174019
"high2367",52,0.197006069193618
"high2368",55,0.687319715863923
"high2369",53,0.17121050152692
"high237",5,-0.3429
"high2370",27,0.260826425527279
"high2371",52,0.197006069193618
"high2372",46,0.197006069193618
"high2373",45,0.146353197214364
"high2374",27,0.260826425527279
"high2375",53,0.17121050152692
"high2376",25,-0.279808785174019
"high2377",55,0.687319715863923
"high2378",26,0.216588097389286
"high2379",25,-0.279808785174019
"high238",1,0.2
"high2380",52,0.197006069193618
"high2381",46,0.197006069193618
"high2382",52,0.197006069193618
"high2383",56,-0.280333082581458
"high2384",52,0.197006069193618
"high2385",48,0.220975439343995
"high2386",48,0.220975439343995
"high2387",50,0.251199875828373
"high2388",45,0.146353197214364
"high2389",54,-0.2502917
"high239",13,-0.8486
"high2390",28,0.291627383631446
"high2391",25,-0.279808785174019
"high2392",47,0.17121050152692
"high2393",51,0.146353197214364
"high2394",53,0.17121050152692
"high2395",47,0.17121050152692
"high2396",51,0.146353197214364
"high2397",25,-0.279808785174019
"high2398",25,-0.279808785174019
"high2399",55,0.687319715863923
"high24",2,0.8
"high240",11,10.77
"high2400",49,0.231331621335453
"high2401",26,0.216588097389286
"high2402",25,-0.279808785174019
"high2403",28,0.291627383631446
"high2404",51,0.146353197214364
"high2405",48,0.220975439343995
"high2406",53,0.17121050152692
"high2407",55,0.687319715863923
"high2408",28,0.291627383631446
"high2409",53,0.17121050152692
"high241",9,12.62
"high2410",50,0.251199875828373
"high2411",52,0.197006069193618
"high2412",28,0.291627383631446
"high2413",49,0.231331621335453
"high2414",25,-0.279808785174019
"high2415",27,0.260826425527279
"high2416",51,0.146353197214364
"high2417",51,0.146353197214364
"high2418",56,-0.280333082581458
"high2419",51,0.146353197214364
"high242",4,2.1
"high2420",47,0.17121050152692
"high2421",52,0.197006069193618
"high2422",27,0.260826425527279
"high2423",47,0.17121050152692
"high2424",28,0.291627383631446
"high2425",45,0.146353197214364
"high2426",48,0.220975439343995
"high2427",26,0.216588097389286
"high2428",48,0.220975439343995
"high2429",51,0.146353197214364
"high243",5,-0.3429
"high2430",48,0.220975439343995
"high2431",52,0.197006069193618
"high2432",56,-0.280333082581458
"high2433",25,-0.279808785174019
"high2434",56,-0.280333082581458
"high2435",25,-0.279808785174019
"high2436",53,0.17121050152692
"high2437",25,-0.279808785174019
"high2438",55,0.687319715863923
"high2439",45,0.146353197214364
"high244",6,-1.1039
"high2440",54,-0.2502917
"high2441",45,0.146353197214364
"high2442",25,-0.279808785174019
"high2443",28,0.291627383631446
"high2444",47,0.17121050152692
"high2445",25,-0.279808785174019
"high2446",50,0.251199875828373
"high2447",28,0.291627383631446
"high2448",47,0.17121050152692
"high2449",48,0.220975439343995
"high245",11,10.77
"high2450",54,-0.2502917
"high2451",47,0.17121050152692
"high2452",56,-0.280333082581458
"high2453",47,0.17121050152692
"high2454",52,0.197006069193618
"high2455",52,0.197006069193618
"high2456",47,0.17121050152692
"high2457",54,-0.2502917
"high2458",50,0.251199875828373
"high2459",25,-0.279808785174019
"high246",7,0
"high2460",46,0.197006069193618
"high2461",54,-0.2502917
"high2462",53,0.17121050152692
"high2463",51,0.146353197214364
"high2464",46,0.197006069193618
"high2465",51,0.146353197214364
"high2466",53,0.17121050152692
"high2467",51,0.146353197214364
"high2468",53,0.17121050152692
"high2469",54,-0.2502917
"high247",5,-0.3429
"high2470",46,0.197006069193618
"high2471",26,0.216588097389286
"high2472",26,0.216588097389286
"high2473",28,0.291627383631446
"high2474",54,-0.2502917
"high2475",27,0.260826425527279
"high2476",50,0.251199875828373
"high2477",28,0.291627383631446
"high2478",55,0.687319715863923
"high2479",27,0.260826425527279
"high248",13,-0.8486
"high2480",28,0.291627383631446
"high2481",52,0.197006069193618
"high2482",27,0.260826425527279
"high2483",27,0.260826425527279
"high2484",50,0.251199875828373
"high2485",52,0.197006069193618
"high2486",53,0.17121050152692
"high2487",49,0.231331621335453
"high2488",53,0.17121050152692
"high2489",51,0.146353197214364
"high249",7,0
"high2490",48,0.220975439343995
"high2491",27,0.260826425527279
"high2492",49,0.231331621335453
"high2493",55,0.687319715863923
"high2494",28,0.291627383631446
"high2495",25,-0.279808785174019
"high2496",56,-0.280333082581458
"high2497",46,0.197006069193618
"high2498",46,0.197006069193618
"high2499",47,0.17121050152692
"high25",1,0.2
"high250",15,-0.16058
"high2500",45,0.146353197214364
"high2501",51,0.146353197214364
"high2502",50,0.251199875828373
"high2503",27,0.260826425527279
"high2504",48,0.220975439343995
"high2505",51,0.146353197214364
"high2506",52,0.197006069193618
"high2507",52,0.197006069193618
"high2508",27,0.260826425527279
"high2509",25,-0.279808785174019
"high251",9,12.62
"high2510",51,0.146353197214364
"high2511",52,0.197006069193618
"high2512",49,0.231331621335453
"high2513",46,0.197006069193618
"high2514",28,0.291627383631446
"high2515",51,0.146353197214364
"high2516",48,0.220975439343995
"high2517",47,0.17121050152692
"high2518",52,0.197006069193618
"high2519",56,-0.280333082581458
"high252",16,1
"high2520",27,0.260826425527279
"high2521",49,0.231331621335453
"high2522",26,0.216588097389286
"high2523",49,0.231331621335453
"high2524",53,0.17121050152692
"high2525",46,0.197006069193618
"high2526",56,-0.280333082581458
"high2527",27,0.260826425527279
"high2528",53,0.17121050152692
"high2529",48,0.220975439343995
"high253",6,-1.1039
"high2530",56,-0.280333082581458
"high2531",54,-0.2502917
"high2532",54,-0.2502917
"high2533",28,0.291627383631446
"high2534",54,-0.2502917
"high2535",47,0.17121050152692
"high2536",46,0.197006069193618
"high2537",48,0.220975439343995
"high2538",50,0.251199875828373
"high2539",46,0.197006069193618
"high254",7,0
"high2540",56,-0.280333082581458
"high2541",26,0.216588097389286
"high2542",55,0.687319715863923
"high2543",27,0.260826425527279
"high2544",51,0.146353197214364
"high2545",45,0.146353197214364
"high2546",45,0.146353197214364
"high2547",26,0.216588097389286
"high2548",50,0.251199875828373
"high2549",51,0.146353197214364
"high255",8,-1.432
"high2550",52,0.197006069193618
"high2551",51,0.146353197214364
"high2552",46,0.197006069193618
"high2553",48,0.220975439343995
"high2554",45,0.146353197214364
"high2555",53,0.17121050152692
"high2556",46,0.197006069193618
"high2557",26,0.216588097389286
"high2558",54,-0.2502917
"high2559",47,0.17121050152692
"high256",5,-0.3429
"high2560",51,0.146353197214364
"high2561",26,0.216588097389286
"high2562",47,0.17121050152692
"high2563",46,0.197006069193618
"high2564",47,0.17121050152692
"high2565",47,0.17121050152692
"high2566",53,0.17121050152692
"high2567",51,0.146353197214364
"high2568",46,0.197006069193618
"high2569",47,0.17121050152692
"high257",7,0
"high2570",26,0.216588097389286
"high2571",53,0.17121050152692
"high2572",25,-0.279808785174019
"high2573",52,0.197006069193618
"high2574",45,0.146353197214364
"high2575",55,0.687319715863923
"high2576",50,0.251199875828373
"high2577",26,0.216588097389286
"high2578",27,0.260826425527279
"high2579",25,-0.279808785174019
"high258",3,-0.800000000000001
"high2580",28,0.291627383631446
"high2581",53,0.17121050152692
"high2582",26,0.216588097389286
"high2583",28,0.291627383631446
"high2584",45,0.146353197214364
"high2585",56,-0.280333082581458
"high2586",46,0.197006069193618
"high2587",51,0.146353197214364
"high2588",28,0.291627383631446
"high2589",28,0.291627383631446
"high259",15,-0.16058
"high2590",28,0.291627383631446
"high2591",27,0.260826425527279
"high2592",27,0.260826425527279
"high2593",25,-0.279808785174019
"high2594",45,0.146353197214364
"high2595",51,0.146353197214364
"high2596",45,0.146353197214364
"high2597",51,0.146353197214364
"high2598",51,0.146353197214364
"high2599",54,-0.2502917
"high26",8,-1.432
"high260",8,-1.432
"high2600",28,0.291627383631446
"high2601",55,0.687319715863923
"high2602",27,0.260826425527279
"high2603",26,0.216588097389286
"high2604",47,0.17121050152692
"high2605",47,0.17121050152692
"high2606",52,0.197006069193618
"high2607",25,-0.279808785174019
"high2608",52,0.197006069193618
"high2609",53,0.17121050152692
"high261",7,0
"high2610",55,0.687319715863923
"high2611",25,-0.279808785174019
"high2612",55,0.687319715863923
"high2613",45,0.146353197214364
"high2614",47,0.17121050152692
"high2615",45,0.146353197214364
"high2616",48,0.220975439343995
"high2617",48,0.220975439343995
"high2618",26,0.216588097389286
"high2619",28,0.291627383631446
"high262",4,2.1
"high2620",51,0.146353197214364
"high2621",52,0.197006069193618
"high2622",53,0.17121050152692
"high2623",48,0.220975439343995
"high2624",27,0.260826425527279
"high2625",27,0.260826425527279
"high2626",45,0.146353197214364
"high2627",51,0.146353197214364
"high2628",56,-0.280333082581458
"high2629",51,0.146353197214364
"high263",14,61.11
"high2630",56,-0.280333082581458
"high2631",54,-0.2502917
"high2632",25,-0.279808785174019
"high2633",55,0.687319715863923
"high2634",51,0.146353197214364
"high2635",56,-0.280333082581458
"high2636",52,0.197006069193618
"high2637",56,-0.280333082581458
"high2638",50,0.251199875828373
"high2639",51,0.146353197214364
"high264",10,9.134
"high2640",45,0.146353197214364
"high2641",53,0.17121050152692
"high2642",50,0.251199875828373
"high2643",51,0.146353197214364
"high2644",26,0.216588097389286
"high2645",48,0.220975439343995
"high2646",45,0.146353197214364
"high2647",46,0.197006069193618
"high2648",26,0.216588097389286
"high2649",52,0.197006069193618
"high265",10,9.134
"high2650",53,0.17121050152692
"high2651",50,0.251199875828373
"high2652",53,0.17121050152692
"high2653",56,-0.280333082581458
"high2654",48,0.220975439343995
"high2655",26,0.216588097389286
"high2656",52,0.197006069193618
"high2657",50,0.251199875828373
"high2658",51,0.146353197214364
"high2659",50,0.251199875828373
"high266",7,0
"high2660",25,-0.279808785174019
"high2661",50,0.251199875828373
"high2662",25,-0.279808785174019
"high2663",55,0.687319715863923
"high2664",25,-0.279808785174019
"high2665",48,0.220975439343995
"high2666",55,0.687319715863923
"high2667",26,0.216588097389286
"high2668",50,0.251199875828373
"high2669",26,0.216588097389286
"high267",3,-0.800000000000001
"high2670",56,-0.280333082581458
"high2671",49,0.231331621335453
"high2672",46,0.197006069193618
"high2673",52,0.197006069193618
"high2674",46,0.197006069193618
"high2675",53,0.17121050152692
"high2676",26,0.216588097389286
"high2677",28,0.291627383631446
"high2678",56,-0.280333082581458
"high2679",51,0.146353197214364
"high268",14,61.11
"high2680",50,0.251199875828373
"high2681",27,0.260826425527279
"high2682",27,0.260826425527279
"high2683",55,0.687319715863923
"high2684",54,-0.2502917
"high2685",55,0.687319715863923
"high2686",52,0.197006069193618
"high2687",56,-0.280333082581458
"high2688",54,-0.2502917
"high2689",50,0.251199875828373
"high269",10,9.134
"high2690",27,0.260826425527279
"high2691",50,0.251199875828373
"high2692",28,0.291627383631446
"high2693",27,0.260826425527279
"high2694",54,-0.2502917
"high2695",47,0.17121050152692
"high2696",27,0.260826425527279
"high2697",56,-0.280333082581458
"high2698",56,-0.280333082581458
"high2699",49,0.231331621335453
"high27",9,12.62
"high270",5,-0.3429
"high2700",45,0.146353197214364
"high2701",51,0.146353197214364
"high2702",26,0.216588097389286
"high2703",26,0.216588097389286
"high2704",26,0.216588097389286
"high2705",49,0.231331621335453
"high2706",52,0.197006069193618
"high2707",52,0.197006069193618
"high2708",28,0.291627383631446
"high2709",27,0.260826425527279
"high271",9,12.62
"high2710",52,0.197006069193618
"high2711",54,-0.2502917
"high2712",50,0.251199875828373
"high2713",49,0.231331621335453
"high2714",48,0.220975439343995
"high2715",51,0.146353197214364
"high2716",54,-0.2502917
"high2717",56,-0.280333082581458
"high2718",53,0.17121050152692
"high2719",25,-0.279808785174019
"high272",8,-1.432
"high2720",48,0.220975439343995
"high2721",50,0.251199875828373
"high2722",27,0.260826425527279
"high2723",45,0.146353197214364
"high2724",46,0.197006069193618
"high2725",27,0.260826425527279
"high2726",28,0.291627383631446
"high2727",53,0.17121050152692
"high2728",50,0.251199875828373
"high2729",25,-0.279808785174019
"high273",12,-3.159
"high2730",56,-0.280333082581458
"high2731",26,0.216588097389286
"high2732",55,0.687319715863923
"high2733",26,0.216588097389286
"high2734",55,0.687319715863923
"high2735",47,0.17121050152692
"high2736",49,0.231331621335453
"high2737",49,0.231331621335453
"high2738",50,0.251199875828373
"high2739",47,0.17121050152692
"high274",11,10.77
"high2740",47,0.17121050152692
"high2741",54,-0.2502917
"high2742",56,-0.280333082581458
"high2743",55,0.687319715863923
"high2744",48,0.220975439343995
"high2745",53,0.17121050152692
"high2746",28,0.291627383631446
"high2747",27,0.260826425527279
"high2748",51,0.146353197214364
"high2749",53,0.17121050152692
"high275",9,12.62
"high2750",54,-0.2502917
"high2751",49,0.231331621335453
"high2752",51,0.146353197214364
"high2753",45,0.146353197214364
"high2754",52,0.197006069193618
"high2755",53,0.17121050152692
"high2756",47,0.17121050152692
"high2757",45,0.146353197214364
"high2758",25,-0.279808785174019
"high2759",56,-0.280333082581458
"high276",9,12.62
"high2760",45,0.146353197214364
"high2761",53,0.17121050152692
"high2762",27,0.260826425527279
"high2763",45,0.146353197214364
"high2764",53,0.17121050152692
"high2765",25,-0.279808785174019
"high2766",47,0.17121050152692
"high2767",56,-0.280333082581458
"high2768",25,-0.279808785174019
"high2769",51,0.146353197214364
"high277",6,-1.1039
"high2770",55,0.687319715863923
"high2771",52,0.197006069193618
"high2772",27,0.260826425527279
"high2773",45,0.146353197214364
"high2774",55,0.687319715863923
"high2775",56,-0.280333082581458
"high2776",48,0.220975439343995
"high2777",55,0.687319715863923
"high2778",46,0.197006069193618
"high2779",49,0.231331621335453
"high278",12,-3.159
"high2780",25,-0.279808785174019
"high2781",27,0.260826425527279
"high2782",54,-0.2502917
"high2783",48,0.220975439343995
"high2784",25,-0.279808785174019
"high2785",26,0.216588097389286
"high2786",48,0.220975439343995
"high2787",55,0.687319715863923
"high2788",47,0.17121050152692
"high2789",48,0.220975439343995
"high279",13,-0.8486
"high2790",48,0.220975439343995
"high2791",53,0.17121050152692
"high2792",50,0.251199875828373
"high2793",26,0.216588097389286
"high2794",26,0.216588097389286
"high2795",53,0.17121050152692
"high2796",54,-0.2502917
"high2797",48,0.220975439343995
"high2798",51,0.146353197214364
"high2799",52,0.197006069193618
"high28",8,-1.432
"high280",3,-0.800000000000001
"high2800",26,0.216588097389286
"high2801",49,0.231331621335453
"high2802",53,0.17121050152692
"high2803",53,0.17121050152692
"high2804",48,0.220975439343995
"high2805",47,0.17121050152692
"high2806",25,-0.279808785174019
"high2807",46,0.197006069193618
"high2808",46,0.197006069193618
"high2809",45,0.146353197214364
"high281",16,1
"high2810",28,0.291627383631446
"high2811",53,0.17121050152692
"high2812",28,0.291627383631446
"high2813",50,0.251199875828373
"high2814",53,0.17121050152692
"high2815",28,0.291627383631446
"high2816",48,0.220975439343995
"high2817",55,0.687319715863923
"high2818",50,0.251199875828373
"high2819",50,0.251199875828373
"high282",6,-1.1039
"high2820",53,0.17121050152692
"high2821",48,0.220975439343995
"high2822",27,0.260826425527279
"high2823",48,0.220975439343995
"high2824",27,0.260826425527279
"high2825",46,0.197006069193618
"high2826",45,0.146353197214364
"high2827",49,0.231331621335453
"high2828",50,0.251199875828373
"high2829",50,0.251199875828373
"high283",6,-1.1039
"high2830",47,0.17121050152692
"high2831",50,0.251199875828373
"high2832",55,0.687319715863923
"high2833",55,0.687319715863923
"high2834",48,0.220975439343995
"high2835",48,0.220975439343995
"high2836",47,0.17121050152692
"high2837",54,-0.2502917
"high2838",26,0.216588097389286
"high2839",48,0.220975439343995
"high284",10,9.134
"high2840",48,0.220975439343995
"high2841",56,-0.280333082581458
"high2842",45,0.146353197214364
"high2843",49,0.231331621335453
"high2844",51,0.146353197214364
"high2845",28,0.291627383631446
